"'
[2021-11-23 04:13:46]:INFO: Start of program
[2021-11-23 04:13:46]:INFO: Succesfuly executed command: 'echo "oooo"'
[2021-11-23 04:13:46]:INFO: Succesfuly executed command: 'echo "hhhh"'
[2021-11-23 04:13:46]:INFO: Succesfuly executed command: 'echo "bbb"'
[2021-11-23 04:13:46]:INFO: Succesfuly executed command: 'echo "Every 5 minutes"'
[2021-11-23 04:13:46]:INFO: Succesfuly executed command: 'echo "pppp"'
[2021-11-23 04:13:46]:INFO: Succesfuly executed command: 'echo "aaaa"'
[2021-11-23 04:13:46]:INFO: Succesfuly executed command: 'echo "ppppp"'
[2021-11-23 04:13:46]:INFO: Succesfuly executed command: 'echo "hyyy"'
[2021-11-23 04:13:46]:INFO: Succesfuly executed command: 'echo "ddddd"'
[2021-11-23 04:13:46]:INFO: Succesfuly executed command: 'echo "rrrr"'
[2021-11-23 04:13:46]:INFO: Succesfuly executed command: 'echo "njlil"'
[2021-11-23 04:13:46]:INFO: Succesfuly executed command: 'echo "dfdfd"'
[2021-11-23 04:13:46]:INFO: Succesfuly executed command: 'echo "kkkk"'
[2021-11-23 04:13:46]:INFO: Succesfuly executed command: 'echo "njlih"'
[2021-11-23 04:14:00]:INFO: Succesfuly executed command: 'echo "dfdfd"'
[2021-11-23 04:14:00]:INFO: Succesfuly executed command: 'echo "rrrr"'
[2021-11-23 04:14:00]:INFO: Succesfuly executed command: 'echo "hhhh"'
[2021-11-23 04:14:00]:INFO: Succesfuly executed command: 'echo "bbb"'
[2021-11-23 04:14:00]:INFO: Succesfuly executed command: 'echo "njlil"'
[2021-11-23 04:14:00]:INFO: Succesfuly executed command: 'echo "kkkk"'
[2021-11-23 04:14:00]:INFO: Succesfuly executed command: 'echo "njlih"'
[2021-11-23 04:14:00]:INFO: Succesfuly executed command: 'echo "aaaa"'
[2021-11-23 04:14:00]:INFO: Succesfuly executed command: 'echo "ddddd"'
[2021-11-23 04:14:00]:INFO: Succesfuly executed command: 'echo "oooo"'
[2021-11-23 04:14:00]:INFO: Succesfuly executed command: 'echo "ppppp"'
[2021-11-23 04:14:00]:INFO: Succesfuly executed command: 'echo "pppp"'
[2021-11-23 04:14:00]:INFO: Succesfuly executed command: 'echo "hyyy"'
